,URL,Fabricante,Modelo,Versao,Valor,Cidade,Ano,Combustível,Placa final,KM,Câmbio,Cor,Carroceria,Airbag motorista,Ar-condicionado,Vidros elétricos dianteiros,Travas elétricas,Retrovisores elétricos,Freios abs,Airbag duplo frontal,Limpador traseiro,Câmbio automático,Rodas de liga leve,Vidros elétricos traseiros,Entradas usb,Rádio,Farol de neblina,Central multimídia,Direção elétrica,Baixa quilometragem,Único dono,Ipva pago,Motorização,Potência (cv),Torque (kgf.m),Velocidade máxima (km/h),Tempo 0-100 (s),Consumo cidade (km/l),Consumo estrada (km/l),Tração,Direção,Suspensão dianteira,Suspensão traseira,Freios dianteiros,Freios traseiros,Altura (mm),Largura (mm),Comprimento (mm),Peso (kg),Tanque (L),Entre-eixos (mm),Porta-Malas (L),Ocupantes,Airbags laterais,Alarme,Brake light,Controle de tração,Distribuição eletrônica de frenagem (ebd),Kit visibilidade,Sensor de estacionamento traseiro,Acendimento automático dos faróis,Ar quente,Trio elétrico,Volante com regulagem de altura,Volante multifuncional,Banco do motorista com regulagem de altura,Bancos de couro,Desembaçador traseiro,Ajuste elétrico dos retrovisores,Computador de bordo,Gps,Piloto automático adaptativo (acc),Sensor de chuva,Sensor de estacionamento dianteiro,Sensor de farol,Direção hidráulica,Cintos três-pontos para todos os ocupantes,Controle eletrônico de estabilidade (esc),Banco traseiro bipartido,Banco traseiro rebatível,Encostos de cabeça no banco traseiro,Luz de cortesia no porta-malas,Saídas de ar-condicionado na segunda fileira,Volante com regulagem de altura e profundidade,Bluetooth,Assistente de subida em rampa,Espelhamento de celular,Fixação para cadeirinhas infantis (isofix),Start-stop,Airbags de cortina,Frenagem autônoma de emergência (aeb),Chave presencial,Luz de cortesia no porta-luvas,Regulagem de altura do facho dos faróis,Carregador de celular por indução,Câmera de ré,Luz de condução diurna (drl),Retrovisores com rebatimento elétrico,Tração 4x4,Adaptado para pcd,Aceita troca,Cd player,Airbag central,Nenhuma batida,Possui vistoria,Laudo cautelar aprovado,Pronta entrega,Revisões realizadas,Licenciado esse ano,Veículo de não fumante,Pneus novos,Parece novo,Retrovisor interno eletrocrômico,Ar-condicionado digital,Faróis de led,Limitador de velocidade,Teto solar,Cd player com mp3,Saldão,Possui multas,Porta-copos,Aerofólio,Garantia de fábrica,Protetor de caçamba,Capota marítima,Wi-fi,Volante com acabamento em couro,Alerta de cinto para condutor,Alerta de cinto para passageiro da primeira fila,Ar-condicionado digital de 2 zonas,7 lugares,Garantia de 1 ano,Assistente de descida,Para-choque na cor do veículo,Cluster digital,Computador de bordo digital,Chave canivete,Descanso de braço na primeira fileira,Tração dianteira,Vidros elétricos traseiros one touch,Vidros elétricos dianteiros one touch,Pneus de uso misto,Encomenda
47,https://www.mobiauto.com.br/comprar/carros/ba-salvador/ford/ecosport/2018/freestyle-1-5-aut-flex/detalhes/9221294?page=detail&undefined,Ford,EcoSport,Freestyle 1.5 (Aut) (Flex),R$ 68.900,Salvador - BA,2018/2018,Flex,1,123.000,Automática,Branco,SUV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,1.5,137 (E) / 130 (G),16.2 (E) / 15.6 (G),N/C,- (E),undefined (E) / 10.4 (G),12.8 (E),dianteira,,"Suspensão tipo McPherson e dianteira com barra estabilizadora, roda tipo independente e molas helicoidal.","Suspensão tipo eixo de torção, roda tipo semi-independente e molas helicoidal.",Dois freios à disco com dois discos ventilados.,,1693,1765,4269,1272,52,2519,362,5,Sim,Sim,,,Sim,,,,,,Sim,,,,Sim,,Sim,,Sim,,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,Sim,,,Sim,Sim,Sim,Sim,,Sim,Sim,Sim,Sim,,,,,,,,Sim,,,,,,,,,,,,,,,,,,,,,,,
48,https://www.mobiauto.com.br/comprar/carros/ba-salvador/jeep/renegade/2021/longitude-1-8-4x2-aut-flex/detalhes/9133765?page=detail&undefined,Jeep,Renegade,Longitude 1.8 4x2 (Aut) (Flex),R$ 89.900,Salvador - BA,2021/2021,Flex,9,66.555,Automática,Prata,SUV,Sim,Sim,Sim,Sim,Sim,Sim,,,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,,,1.8,139 (E) / 135 (G),19.2 (E) / 18.7 (G),182 (E) / 180 (G),11.1 (E),6.9 (E) / 10 (G),8.6 (E) / 12 (G),Dianteira,Hidráulica,"Suspensão tipo McPherson e dianteira com barra estabilizadora, roda tipo independente e molas helicoidal.","Suspensão tipo McPherson e traseira com barra estabilizadora, roda tipo independente e molas helicoidal.",Discos ventilados,Discos sólidos,1696,1798,4232,1465,60,2570,320,5,,Sim,,Sim,,Sim,Sim,,Sim,Sim,Sim,Sim,,,Sim,,,,Sim,,,,,,,,,,,,,Sim,,,,,,,,,,,Sim,,,,,Sim,,,Sim,,,,,,,Sim,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,https://www.mobiauto.com.br/comprar/carros/ba-salvador/toyota/hilux-cabine-dupla/2020/hilux-2-7-srv-cd-4x2-flex-aut/detalhes/9173367?page=detail&undefined,Toyota,Hilux Cabine Dupla,Hilux 2.7 SRV CD 4x2 (Flex) (Aut),R$ 158.900,Salvador - BA,2020/2020,Flex,0,91.162,Automática,Preto,Picapes,Sim,Sim,Sim,Sim,Sim,Sim,Sim,,Sim,Sim,Sim,Sim,Sim,Sim,Sim,,,,,2.7,163 (E) / 159 (G),25.0 (E) / 25 (G),165 (E),14.5 (E),4.8 (E) / 6.9 (G),8.1 (E),4x4,,"Suspensão tipo braços triangulares e dianteira com barra estabilizadora, roda tipo independente e molas helicoidal.","Suspensão tipo eixo transversal (beam), roda tipo rígida e molas feixe de lâminas.",Dois freios à disco com dois discos ventilados.,,1815,1855,5315,1985,80,3085,,5,Sim,Sim,,,Sim,,,,,,Sim,,,Sim,Sim,Sim,Sim,,Sim,,Sim,Sim,Sim,,,,,,,,,,,,,,,,,,,,,,,Sim,,Sim,Sim,,,,,Sim,,,,,,,,,,,Sim,,,,,,Sim,,,,,,,,,,,,,,,,,,,
50,https://www.mobiauto.com.br/comprar/carros/ba-salvador/fiat/toro/2021/endurance-1-8-at6-flex-aut/detalhes/9152855?page=detail&undefined,Fiat,Toro,Endurance 1.8 AT6 FLEX (Aut),R$ 98.900,Salvador - BA,2021/2021,Flex,1,30.000,Automática,Branco,Picapes,Sim,Sim,Sim,Sim,,Sim,Sim,,Sim,,Sim,Sim,Sim,,Sim,Sim,,,,1.8,139 (E) / 135 (G),19.3 (E) / 18.8 (G),175 (E) / 172 (G),13 (E),6.9 (E) / 7.6 (G),9.9 (E) / 10.9 (G),Dianteira,Elétrica,"Suspensão tipo McPherson e dianteira com barra estabilizadora, roda tipo independente e molas helicoidal.","Suspensão tipo multibraço e traseira com barra estabilizadora, roda tipo independente e molas helicoidal.",Dois freios à disco,Dois freios à disco ,1735,1844,4915,1619,60,2990,,5,,,,,Sim,,,,,,Sim,,,,,,Sim,,Sim,,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,Sim,,,Sim,,,Sim,,,Sim,Sim,Sim,,,,,,,,,,,,Sim,Sim,,,,,,,,,,,,,,,,,,
51,https://www.mobiauto.com.br/comprar/carros/ba-salvador/ford/focus-sedan/2016/se-plus-2-0-powershift/detalhes/8796091?page=detail&undefined,Ford,Focus Sedan,SE Plus 2.0 PowerShift,R$ 53.900,Salvador - BA,2015/2016,Flex,5,108.000,Automática,Branco,Sedan,Sim,Sim,Sim,Sim,Sim,Sim,Sim,,,Sim,Sim,Sim,Sim,Sim,,,Sim,,,2.0,178 (E) / 175 (G),22.5 (E) / 21.5 (G),208 (E) / 204 (G),9.7 (E),6.7 (E) / 9.9 (G),12.4 (E),dianteira,,"Suspensão tipo McPherson e dianteira com barra estabilizadora, roda tipo independente e molas helicoidal.","Suspensão tipo multibraço e traseira com barra estabilizadora, roda tipo independente e molas helicoidal.",Quatro freios à disco com dois discos ventilados.,,1484,1823,4534,1396,55,2648,421,5,Sim,Sim,,Sim,Sim,,,,,,Sim,,,Sim,Sim,,Sim,,Sim,,Sim,,Sim,,,,,,,,,,,,,,,,,,,,,,,,,Sim,Sim,,Sim,,,Sim,,,Sim,Sim,Sim,,,,,,Sim,Sim,,,,,,,,,,,,,,,,,,,,,,,,
52,https://www.mobiauto.com.br/comprar/carros/ba-salvador/volkswagen/fox/2018/1-0-mpi-trendline-flex/detalhes/7641545?page=detail&undefined,Volkswagen,Fox,1.0 MPI Trendline (Flex),R$ 54.900,Salvador - BA,2018/2018,Flex,1,37.000,Manual,Vermelho,Hatch,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,,,Sim,Sim,Sim,,,Sim,Sim,,,1.0,82 (E) / 75 (G),10.401105 (E) / 9.6873045 (G),159 (E) / 158 (G),14.4 (E),8.6 (E) / 12 (G),14 (E),dianteira,,"Suspensão tipo McPherson e dianteira com barra estabilizadora, roda tipo independente e molas helicoidal.","Suspensão tipo eixo de torção, roda tipo semi-independente e molas helicoidal.",Dois freios à disco com dois discos ventilados.,,1552,1660,3868,1052,50,2467,270,5,,,,,Sim,,,,,,Sim,,,,Sim,,,,,,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,Sim,Sim,,,,,,,,,,,,,,,,Sim,,,,,,,,,,,,,,,,,,,,,,,,,
53,https://www.mobiauto.com.br/comprar/carros/ba-salvador/hyundai/hb20/2015/1-6-comfort-plus-aut-flex/detalhes/9527413?page=detail&undefined,Hyundai,HB20,1.6 Comfort Plus (Aut) (Flex),R$ 48.900,Salvador - BA,2015/2015,Flex,6,75.000,Automática,Branco,Hatch,Sim,Sim,Sim,Sim,,Sim,Sim,Sim,Sim,,Sim,Sim,Sim,,,,,Sim,,1.6,128 (E) / 122 (G),16.5 (E) / 16 (G),176 (E),11 (E),7 (E) / 10.1 (G),8.3 (E) / 11.8 (G),Dianteira,Hidráulica,"Suspensão tipo McPherson e dianteira com barra estabilizadora, roda tipo independente e molas helicoidal.","Suspensão tipo eixo de torção, roda tipo semi-independente e molas helicoidal.",Dois freios à disco ventilados,Tambor ,1470,1680,3900,1027,50,2500,300,5,,Sim,,,Sim,,,,,,,,,,Sim,,Sim,,,,,,Sim,,,,,,,,,,,,,,,,,,,,,,,,,Sim,,,Sim,,,Sim,,,Sim,Sim,Sim,,,,,,,,,,Sim,,,,,,,,,,,,,,,,,,,,,
54,https://www.mobiauto.com.br/comprar/carros/ba-salvador/toyota/etios/2018/x-1-3-flex/detalhes/9522624?page=detail&undefined,Toyota,Etios,X 1.3 (Flex),R$ 46.900,Salvador - BA,2017/2018,Flex,1,99,Manual,Prata,Hatch,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,,,Sim,,,,,Sim,,,Sim,1.3,98 (E) / 88 (G),13.1 (E) / 12.5 (G),170 (E),11.8 (E),8.6 (E) / 12.6 (G),14.2 (E),dianteira,,"Suspensão tipo McPherson e dianteira com barra estabilizadora, roda tipo independente e molas helicoidal.","Suspensão tipo eixo de torção e traseira com barra estabilizadora, roda tipo semi-independente e molas helicoidal.",Dois freios à disco com dois discos ventilados.,,1510,1695,3884,988,45,2460,270,5,,,,,Sim,,,,,Sim,Sim,,,,Sim,,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sim,,Sim,,Sim,Sim,,Sim,Sim,,,,,,,Sim,,,Sim,,,,,,,,,,,,,,,,,,,,,
55,https://www.mobiauto.com.br/comprar/carros/ba-salvador/mitsubishi/asx/2015/2-0-aut-4x4/detalhes/9520432?page=detail&undefined,Mitsubishi,ASX, 2.0 (Aut) 4x4,R$ 71.900,Salvador - BA,2015/2015,Gasolina,0,100.000,CVT,Branco,SUV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,,,,,,2.0,160 (G),20.08841 (G),190 (G),11.5 (G),8.7 (G),9.8 (G),dianteira,,"Suspensão tipo McPherson e dianteira com barra estabilizadora, roda tipo independente e molas helicoidal.","Suspensão tipo multibraço e traseira com barra estabilizadora, roda tipo independente e molas helicoidal.",Quatro freios à disco com dois discos ventilados.,,1625,1770,4295,1385,63,2670,409,5,,Sim,,Sim,Sim,,,,,,Sim,,,,Sim,,Sim,,Sim,,,,Sim,,,,,,,,,,,,,,,,,,,,,,,,,Sim,Sim,,Sim,,,Sim,,,Sim,Sim,Sim,,,,,,Sim,,,,Sim,,,,,,,,,,,,,,,,,,,,,
56,https://www.mobiauto.com.br/comprar/carros/ba-salvador/toyota/hilux-cabine-dupla/2018/hilux-2-7-srv-cd-4x4-flex-aut/detalhes/9406012?page=detail&undefined,Toyota,Hilux Cabine Dupla,Hilux 2.7 SRV CD 4x4 (Flex) (Aut),R$ 176.000,Salvador - BA,2017/2018,Diesel,8,110,Automática,Branco,Picapes,Sim,Sim,Sim,Sim,Sim,Sim,Sim,,Sim,Sim,Sim,Sim,Sim,Sim,Sim,,,Sim,,2.7,163 (E) / 159 (G),25.0 (E) / 25 (G),165 (E),14.5 (E),4.8 (E) / 6.9 (G),8.1 (E),4x4,,"Suspensão tipo braços triangulares e dianteira com barra estabilizadora, roda tipo independente e molas helicoidal.","Suspensão tipo eixo transversal (beam), roda tipo rígida e molas feixe de lâminas.",Dois freios à disco com dois discos ventilados.,,1815,1855,5330,1970,80,3085,,5,,Sim,,,Sim,Sim,,,Sim,,Sim,Sim,,Sim,Sim,Sim,Sim,Sim,Sim,,Sim,,Sim,,,,,,,,Sim,,,,,,,,,,,,Sim,,,Sim,,Sim,Sim,,Sim,Sim,Sim,Sim,Sim,,Sim,Sim,Sim,,,,,,Sim,,,Sim,,,Sim,,Sim,Sim,Sim,Sim,,,,,,,,,,,,,,
57,https://www.mobiauto.com.br/comprar/carros/ba-salvador/caoa-chery/tiggo-8/2022/txs-1-6-turbo-gdi/detalhes/9160174?page=detail&undefined,CAOA Chery,Tiggo 8,TXS 1.6 Turbo GDI ,R$ 149.990,Salvador - BA,2022/2022,Gasolina,9,60.000,Automática,Branco,,Sim,Sim,Sim,Sim,Sim,Sim,Sim,,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,,,,TGDi 1.6 Turbo,187 (G),28.0 (G),180 (G),9 (G),10.1 (G),12 (G),Dianteira,Elétrica,McPherson,Multilink,Disco ventilado,Disco sólido,1705,1860,4700,,51,2710,889,7,Sim,Sim,,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,,Sim,Sim,Sim,Sim,,Sim,Sim,Sim,Sim,,,,,,,,,,Sim,,,,,,,,,,,Sim,,,,,Sim,,,Sim,,,Sim,,,Sim,Sim,Sim,,,,,Sim,,,,,,,,,,,,,Sim,Sim,,,,,,,,,,,,
58,https://www.mobiauto.com.br/comprar/carros/ba-salvador/hyundai/ix35/2018/2-0-gl-2wd-aut-flex/detalhes/9505712?page=detail&undefined,Hyundai,ix35,2.0 GL 2WD (Aut) (Flex),R$ 83.900,Salvador - BA,2017/2018,Flex,1,58.000,Automática,Preto,SUV,Sim,Sim,Sim,Sim,Sim,Sim,,,,Sim,,,,,Sim,,,Sim,,2.0,167 (E) / 157 (G),20.6 (E) / 19.2 (G),181 (E),10.8 (E),6.1 (E) / 8.8 (G),10.5 (E),dianteira,,"Suspensão tipo McPherson e dianteira com barra estabilizadora, roda tipo independente e molas helicoidal.","Suspensão tipo multibraço e traseira com barra estabilizadora, roda tipo independente e molas helicoidal.",Quatro freios à disco com dois discos ventilados.,,1655,1820,4410,1492,58,2640,728,5,,Sim,,Sim,,,,,,,,,Sim,Sim,,,,,,Sim,Sim,,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sim,,,,,,,,,,,,,,,,,,
59,https://www.mobiauto.com.br/comprar/carros/ba-salvador/fiat/uno/2012/vivace-1-0-8v-flex-4p/detalhes/9320076?page=detail&undefined,Fiat,Uno,Vivace 1.0 8V (Flex) 4p,R$ 31.900,Salvador - BA,2011/2012,Flex,4,90.000,Manual,Vermelho,Hatch,,,,,,,,,,,,,,,,,,,,1.0,75 (E) / 73 (G),9.9 (E) / 9.5 (G),153 (E) / 151 (G),13.8 (E),10.5 (E),12.9 (E),dianteira,,"Suspensão tipo McPherson, roda tipo independente e molas helicoidal.","Suspensão tipo eixo de torção, roda tipo semi-independente e molas helicoidal.",Dois freios à disco com dois discos ventilados.,,1480,1636,3770,895,48,2376,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,https://www.mobiauto.com.br/comprar/carros/ba-salvador/renault/kwid/2021/zen-1-0-12v-sce-flex/detalhes/9489558?page=detail&undefined,Renault,Kwid,Zen 1.0 12v SCe (Flex),R$ 48.900,Salvador - BA,2021/2021,Flex,8,11.000,Manual,Branco,Hatch,Sim,Sim,Sim,,,Sim,,,,,,,Sim,,,Sim,Sim,Sim,Sim,1.0,70 (E) / 66 (G),10.0 (E) / 9.6 (G),156 (E) / 152 (G),14.7 (E),10.3 (E) / 10.8 (G),14.9 (E),dianteira,Elétrica,"Suspensão tipo McPherson, roda tipo independente e molas helicoidal.","Suspensão tipo eixo de torção, roda tipo semi-independente e molas helicoidal.",Dois freios à disco.,Tambor ,1474,1579,3680,779,38,2423,290,5,Sim,,,,,,,,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sim,,,Sim,,,Sim,,,Sim,Sim,Sim,,,,,,,,,,,,,,,,,,,,Sim,,,,,,,,,,,
61,https://www.mobiauto.com.br/comprar/carros/ba-salvador/jeep/grand-cherokee/2014/3-6-v6-limited-4wd/detalhes/9476273?page=detail&undefined,Jeep,Grand Cherokee,3.6 V6 Limited 4WD,R$ 88.900,Salvador - BA,2014/2014,Gasolina,2,85.000,Automática,Branco,SUV,Sim,Sim,Sim,,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,,,,,Sim,3.6,286 (G),35.38415 (G),206 (G),8.3 (G),7 (G),12.2 (G),4x4,,"Suspensão tipo braços triangulares e dianteira com barra estabilizadora, roda tipo independente e molas helicoidal.","Suspensão tipo multibraço e traseira com barra estabilizadora, roda tipo independente e molas helicoidal.",Quatro freios à disco com quatro discos ventilados.,,1760,1943,4828,2211,93,2915,457,5,Sim,Sim,,Sim,Sim,,,,,Sim,Sim,Sim,,Sim,Sim,Sim,Sim,,Sim,Sim,Sim,Sim,Sim,,,,,,,,Sim,,,,,,,,,,,,,,,Sim,,,,,Sim,,Sim,Sim,Sim,Sim,,Sim,Sim,,,,,,,,,,Sim,,,,,,,,,,,,,,,,,,,,,
62,https://www.mobiauto.com.br/comprar/carros/ba-salvador/honda/hr-v/2018/lx-cvt-1-8-i-vtec-flexone/detalhes/9454273?page=detail&undefined,Honda,HR-V,LX CVT 1.8 I-VTEC FlexOne,R$ 89.900,Salvador - BA,2017/2018,Flex,7,70.000,CVT,Branco,SUV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,1.8,140 (E) / 139 (G),17.7 (E) / 17.5 (G),N/C,- (E),7.1 (E) / 10.5 (G),12.1 (E),dianteira,,"Suspensão tipo McPherson, roda tipo independente e molas helicoidal.","Suspensão tipo eixo de torção, roda tipo semi-independente e molas helicoidal.",Quatro freios à disco com dois discos ventilados.,,1586,1772,4294,1271,51,2610,437,5,,Sim,,,Sim,,,,Sim,,Sim,Sim,Sim,Sim,Sim,Sim,Sim,,Sim,,Sim,,,,,,,,,,Sim,Sim,,,,,,,,,,,Sim,,,,,Sim,Sim,,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,,Sim,,,,Sim,Sim,,Sim,Sim,,,,,Sim,Sim,,,,,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
63,https://www.mobiauto.com.br/comprar/carros/ba-salvador/honda/hr-v/2016/exl-cvt-1-8-i-vtec-flexone/detalhes/9454502?page=detail&undefined,Honda,HR-V,EXL CVT 1.8 I-VTEC FlexOne,R$ 79.900,Salvador - BA,2016/2016,Flex,1,120.000,CVT,Prata,SUV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,,Sim,1.8,140 (E) / 139 (G),17.7 (E) / 17.5 (G),N/C,- (E),7.1 (E) / 10.5 (G),12.1 (E),dianteira,,"Suspensão tipo McPherson, roda tipo independente e molas helicoidal.","Suspensão tipo eixo transversal (beam), roda tipo semi-independente e molas helicoidal.",Quatro freios à disco com dois discos ventilados.,,1586,1772,4294,1276,51,2610,437,5,,Sim,,,Sim,,Sim,,Sim,,Sim,Sim,,Sim,Sim,Sim,Sim,,Sim,,Sim,,,,,,,Sim,,,Sim,Sim,,,,,,,,,,,Sim,,Sim,,,Sim,Sim,,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,,Sim,,,,Sim,Sim,,Sim,,,,,,Sim,Sim,,,,,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
64,https://www.mobiauto.com.br/comprar/carros/ba-salvador/chevrolet/onix/2019/1-4-lt-spe-4/detalhes/9452542?page=detail&undefined,Chevrolet,Onix,1.4 LT SPE/4,R$ 61.900,Salvador - BA,2019/2019,Flex,,0,Manual,Branco,Hatch,Sim,Sim,,Sim,Sim,Sim,Sim,Sim,,Sim,,,,,Sim,Sim,Sim,Sim,Sim,1.4,106 (E) / 98 (G),13.9 (E) / 13 (G),N/C,- (E),8.6 (E) / 12.5 (G),14.9 (E),dianteira,,"Suspensão tipo McPherson e dianteira com barra estabilizadora, roda tipo independente e molas helicoidal.","Suspensão tipo eixo de torção, roda tipo semi-independente e molas helicoidal.",Dois freios à disco com dois discos ventilados.,,1476,1705,3933,1034,54,2528,280,5,,Sim,,,,,Sim,,Sim,,Sim,Sim,Sim,,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sim,,,Sim,Sim,Sim,Sim,Sim,,Sim,Sim,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,https://www.mobiauto.com.br/comprar/carros/ba-salvador/ford/ka/2021/1-5-se-plus-flex/detalhes/9451746?page=detail&undefined,Ford,Ka,1.5 SE Plus (Flex),R$ 57.900,Salvador - BA,2020/2021,Flex,1,57.000,Manual,Prata,Hatch,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,,,Sim,Sim,Sim,Sim,Sim,Sim,,Sim,,1.5,136 (E) / 128 (G),10.7 (E) / 10.2 (G),181 (E),9.9 (E),8.8 (E) / 10.5 (G),12.4 (E) / 14.8 (G),Dianteira,Elétrica,"Suspensão tipo McPherson, roda tipo independente e molas helicoidal.","Suspensão tipo eixo de torção, roda tipo semi-independente e molas helicoidal.",Dois freios à disco,Tambor ,1525,1695,3941,1076,51,2490,257,5,,Sim,,,Sim,,,,,,Sim,,,,Sim,,Sim,,,,Sim,,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sim,,,,,,,,,,,,,,,,,,,,,,,,,
66,https://www.mobiauto.com.br/comprar/carros/ba-salvador/ford/new-fiesta-hatch/2014/new-fiesta-se-1-6-16v/detalhes/9451678?page=detail&undefined,Ford,New Fiesta Hatch,New Fiesta SE 1.6 16V,R$ 33.900,Salvador - BA,2014/2014,Flex,7,98.000,Manual,Branco,Hatch,,,,,,,,,,,,,,,,,Sim,Sim,Sim,1.6,130 (E) / 125 (G),16.009544 (E) / 15.397715 (G),190 (E) / 190 (G),12.1 (E),8 (E) / 12 (G),14.3 (E),dianteira,,"Suspensão tipo McPherson e dianteira com barra estabilizadora, roda tipo independente e molas helicoidal.","Suspensão tipo eixo de torção, roda tipo semi-independente e molas helicoidal.",Dois freios à disco com dois discos ventilados.,,1464,1722,3969,1126,51,2489,281,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sim,,,Sim,Sim,Sim,,Sim,Sim,Sim,Sim,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sim
67,https://www.mobiauto.com.br/comprar/carros/ba-salvador/volkswagen/gol/2018/1-0-mpi-trendline-12v-5p-flex/detalhes/9450203?page=detail&undefined,Volkswagen,Gol,1.0 MPI Trendline 12V 5p (Flex),R$ 43.900,Salvador - BA,2017/2018,Flex,5,64.000,Manual,Branco,Hatch,Sim,Sim,Sim,Sim,,Sim,Sim,Sim,,Sim,,,Sim,,Sim,,,Sim,,1.0,82 (E) / 75 (G),10.4 (E) / 9.7 (G),170 (E) / 168 (G),12.3 (E),8.8 (E) / 12.9 (G),14.5 (E),dianteira,,"Suspensão tipo McPherson e dianteira com barra estabilizadora, roda tipo independente e molas helicoidal.","Suspensão tipo eixo de torção, roda tipo semi-independente e molas helicoidal.",Dois freios à disco com dois discos ventilados.,,1467,1893,3897,901,55,2466,285,5,,Sim,,,Sim,,,,,,,,,,Sim,,,,,,,,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,https://www.mobiauto.com.br/comprar/carros/ba-salvador/renault/sandero/2016/authentique-hi-power-1-0-16v-flex/detalhes/9436810?page=detail&undefined,Renault,Sandero,Authentique Hi-Power 1.0 16V (Flex),R$ 38.900,Salvador - BA,2016/2016,Flex,5,70.000,Manual,Prata,Hatch,Sim,Sim,Sim,Sim,,Sim,Sim,Sim,,,,,,,,,,Sim,Sim,1.0,80 (E) / 77 (G),10.5 (E) / 10.2 (G),161 (E) / 160 (G),14 (E),8.1 (E) / 11.9 (G),13.4 (E),dianteira,,"Suspensão tipo McPherson, roda tipo independente e molas helicoidal.","Suspensão tipo eixo de torção, roda tipo semi-independente e molas helicoidal.",Dois freios à disco.,,1536,1733,4060,1013,50,2590,320,5,,,,,Sim,,,,,,,,,,Sim,,,,,,,,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sim,Sim,Sim,Sim,Sim,Sim,,Sim,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,https://www.mobiauto.com.br/comprar/carros/ba-salvador/fiat/doblo/2020/essence-1-8-16v-flex/detalhes/9432731?page=detail&undefined,Fiat,Doblò,Essence 1.8 16V (Flex),R$ 62.900,Salvador - BA,2020/2020,Flex,1,114.256,Manual,Prata,Monovolume,Sim,Sim,Sim,Sim,,Sim,,,,,,,,,,,,Sim,Sim,1.7,132 (E) / 130 (G),18.86475 (E) / 18.354893 (G),167 (E) / 165 (G),12.7 (E),6.4 (E) / 9.3 (G),7 (E) / 10.2 (G),dianteira,,,,Dois freios à disco com dois discos ventilados,,1834,1722,4252,1463,60,2566,,7,,,,,,,,,Sim,,Sim,,,,Sim,,Sim,,,,,,Sim,,,,,,,,,,,,,,,,,,,,,,,,,Sim,,,,,,,,,,Sim,,,,,,,,,,,,,,,,,,,,Sim,,,,,,,,,,,,
70,https://www.mobiauto.com.br/comprar/carros/ba-salvador/fiat/argo/2021/1-0-flex/detalhes/9427889?page=detail&undefined,Fiat,Argo,1.0 (Flex),R$ 57.900,Salvador - BA,2021/2021,Flex,5,29.000,Manual,Branco,Hatch,,Sim,Sim,Sim,,Sim,Sim,,,,,,,,,Sim,,Sim,Sim,1.0,77 (E) / 72 (G),10.9 (E) / 10.4 (G),162 (E) / 157 (G),13.4 (E),9.6 (E) / 13.6 (G),10.6 (E) / 15.1 (G),dianteira,Elétrica,"Suspensão tipo McPherson e dianteira com barra estabilizadora, roda tipo independente e molas helicoidal.","Suspensão tipo eixo de torção, roda tipo semi-independente e molas helicoidal.",Dois freios à disco ventilados,Tambor ,1503,1724,3998,1105,48,2521,300,5,,Sim,,,,,,,Sim,,Sim,,,,,,Sim,,,,,,,Sim,,,Sim,Sim,,,,Sim,,,Sim,,,,,Sim,,,,,,,,,,,Sim,Sim,Sim,Sim,Sim,Sim,,Sim,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,https://www.mobiauto.com.br/comprar/carros/ba-salvador/fiat/argo/2018/drive-1-0-firefly-flex/detalhes/9425911?page=detail&undefined,Fiat,Argo,Drive 1.0 Firefly (Flex),R$ 56.900,Salvador - BA,2018/2018,Flex,6,58.000,Manual,Branco,Hatch,Sim,Sim,Sim,Sim,,Sim,Sim,,,,,,,,,Sim,Sim,Sim,Sim, 1.0,77 (E),10.9 (E),162 (E),13.4 (E),9.9 (E) / 14.2 (G),10.7 (E) / 15.1 (G),Dianteira,Elétrica,"Suspensão tipo McPherson, roda tipo independente e molas helicoidal",Suspensão tipo eixo de torção e molas helicoidal,Dois freios à disco ventilados,Tambor ,1501,1724,3998,1140,48,2521,300,5,,,,,Sim,,,,Sim,,Sim,,Sim,,,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sim,,,Sim,,,Sim,,,Sim,Sim,Sim,,,,,,,Sim,,,,,,,,,,,,,Sim,,,,,,,,,,,
