Label,Value
Acura,1
Agrale,2
Alfa Romeo,3
AM Gen,4
Asia Motors,5
Audi,6
BMW,7
BRM,8
Buggy,9
Bugre,123
Cadillac,10
CBT Jipe,11
Chrysler,12
CitroÃ«n,13
Cross Lander,14
Daewoo,15
Daihatsu,16
Dodge,17
Engesa,18
Envemo,19
Ferrari,20
Fiat,21
Ford,22
GM - Chevrolet,23
Gurgel,24
Honda,25
Hyundai,26
Isuzu,27
Jaguar,28
Jeep,29
JPX,30
Kia Motors,31
Lada,32
Land Rover,33
Lexus,34
Lotus,35
Maserati,36
Matra,37
Mazda,38
Mercedes-Benz,39
Mercury,40
Mitsubishi,41
Miura,42
Nissan,43
Peugeot,44
Plymouth,45
Pontiac,46
Porsche,47
Renault,48
Rover,49
Saab,50
Saturn,51
Seat,52
SSANGYONG,125
Subaru,54
Suzuki,55
Toyota,56
Troller,57
Volvo,58
VW - VolksWagen,59
Walk,120
